Title,Authors,Abstract,Published_Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Dual-quaternion based fault-tolerant control for spacecraft formation flying with finite-time convergence.,"Dong, Hongyang; Hu, Qinglei; Ma, Guangfu","Study results of developing control system for spacecraft formation proximity operations between a target and a chaser are presented. In particular, a coupled model using dual quaternion is employed to describe the proximity problem of spacecraft formation, and a nonlinear adaptive fault-tolerant feedback control law is developed to enable the chaser spacecraft to track the position and attitude of the target even though its actuator occurs fault. Multiple-task capability of the proposed control system is further demonstrated in the presence of disturbances and parametric uncertainties as well. In addition, the practical finite-time stability feature of the closed-loop system is guaranteed theoretically under the designed control law. Numerical simulation of the proposed method is presented to demonstrate the advantages with respect to interference suppression, fast tracking, fault tolerant and practical finite-time stability. Copyright © 2015 ISA. Published by Elsevier Ltd. All rights reserved.",2016,/,ISA transactions,61,"gxp, 0374750",87-94,,https://dx.doi.org/10.1016/j.isatra.2015.12.008,26775087,#2465,Dong 2016,,
A closed-loop brain-computer interface with augmented reality feedback for industrial human-robot collaboration,"Ji, Zhenrui; Liu, Quan; Xu, Wenjun; Yao, Bitao; Liu, Jiayi; Zhou, Zude","Industrial human-robot collaboration (HRC) aims to combine human intelligence and robotic capability to achieve higher productiveness. In industrial HRC, the communication between humans and robots is essential to enhance the understanding of the intent of each other to make a more fluent collaboration. Brain-computer interface (BCI) is a technology that could record the user's brain activity that can be translated into interaction messages (e.g., control commands) to the outside world, which can build a direct and efficient communication channel between human and robot. However, due to lacking information feedback mechanisms, it is challenging for BCI to control robots with a high degree of freedom with a limited number of classifiable mental states. To address this problem, this paper proposes a closed-loop BCI with contextual visual feedback by an augmented reality (AR) headset. In such BCI, the electroencephalogram (EEG) patterns from the multiple voluntary eye blinks are considered the input and its online detection algorithm is proposed whose average accuracy can reach 94.31%. Moreover, an AR-enable information feedback interface is designed to achieve an interactive robotic path planning. A case study of an industrial HRC assembly task is also developed to show that the proposed closed-up BCI could shorten the time of user input in human-robot interaction.",2023,,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,124,9,3083-3098,WOS:000694788700001,10.1007/s00170-021-07937-z,,#10917,Ji 2023,,
"Ubiquitous UAVs: A Cloud Based Framework for Storing, Accessing and Processing Huge Amount of Video Footage in an Efficient Way","Efstathiou, Nectarios; Skitsas, Michael; Psaroudakis, Chrysostomos; Koutras, Nikolaos","Nowadays, video surveillance cameras are used for the protection and monitoring of a huge number of facilities worldwide. An important element in such surveillance systems is the use of aerial video streams originating from on-board sensors located on Unmanned Aerial Vehicles (UAVs). Video surveillance using UAVs represent a vast amount of video to be transmitted, stored, analyzed and visualized in a real-time way. As a result, the introduction and development of systems able to handle huge amount of data become a necessity. In this paper, a new approach for the collection, transmission and storage of aerial videos and metadata is introduced. The objective of this work is twofold. First, the integration of the appropriate equipment in order to capture and transmit real-time video including metadata (i.e. position coordinates, target) from the UAV to the ground and, second, the utilization of the ADITESS Versatile Media Content Management System (VMCMS-GE) for storing of the video stream and the appropriate metadata. Beyond the storage, VMCMS-GE provides other efficient management capabilities such as searching and processing of videos, along with video transcoding. For the evaluation and demonstration of the proposed framework we execute a use case where the surveillance of critical infrastructure and the detection of suspicious activities is performed. Collected video Transcodingis subject of this evaluation as well.",2017,,FIFTH INTERNATIONAL CONFERENCE ON REMOTE SENSING AND GEOINFORMATION OF THE ENVIRONMENT (RSCY2017),10444,,,WOS:000422619600012,10.1117/12.2275333,,#11976,Efstathiou 2017,,
A fully integrated protein crystallization platform for small-molecule drug discovery,"Hosfield, D; Palan, J; Hilgers, M; Scheibe, D; McRee, DE; Stevens, RC","Structure-based drug discovery in the pharmaceutical industry benefits from cost-efficient methodologies that quickly assess the feasibility of specific, often refractory, protein targets to form well-diffracting crystals. By tightly coupling construct and purification diversity with nanovolume crystallization, the Structural Biology Group at Syrrx has developed such a platform to support its small-molecule drug-discovery program. During the past 18 months of operation at Syrrx, the Structural Biology Group has executed several million crystallization and imaging trials on over 400 unique drug-discovery targets. Here, key components of the platform, as well as an analysis of some experimental results that allowed for platform optimization, will be described. (C) 2003 Elsevier Science (USA). All rights reserved.",2003,,JOURNAL OF STRUCTURAL BIOLOGY,142,1,207-217,WOS:000182711400019,10.1016/S1047-8477(03)00051-0,,#17037,Hosfield 2003,,
Effects of High Glucose on Human Endothelial Cells Exposed to Simulated Microgravity.,"Joksiene, Justina; Sahana, Jayashree; Wehland, Markus; Schulz, Herbert; Cortes-Sanchez, Jose Luis; Prat-Duran, Judit; Grimm, Daniela; Simonsen, Ulf","A diabetogenic state induced by spaceflight provokes stress and health problems in astronauts. Microgravity (microg) is one of the main stressors in space causing hyperglycaemia. However, the underlying molecular pathways and synergistic effects of microg and hyperglycaemia are not fully understood. In this study, we investigated the effects of high glucose on EA.hy926 endothelial cells in simulated microg (s-microg) using a 3D clinostat and static normogravity (1g) conditions. After 14 days of cell culture under s-microg and 1g conditions, we compared the expression of extracellular matrix (ECM), inflammation, glucose metabolism, and apoptosis-related genes and proteins through qPCR, immunofluorescence, and Western blot analyses, respectively. Apoptosis was evaluated via TUNEL staining. Gene interactions were examined via STRING analysis. Our results show that glucose concentrations had a weaker effect than altered gravity. microg downregulated the ECM gene and protein expression and had a stronger influence on glucose metabolism than hyperglycaemia. Moreover, hyperglycaemia caused more pronounced changes in 3D cultures than in 2D cultures, including bigger and a greater number of spheroids, upregulation of NOX4 and the apoptotic proteins NF-kappaB and CASP3, and downregulation of fibronectin and transglutaminase-2. Our findings bring new insights into the possible molecular pathways involved in the diabetogenic vascular effects in microg.",2023,/,Biomolecules,13,2,,,https://dx.doi.org/10.3390/biom13020189,36830559,#740,Joksiene 2023,,
"Blood volume: importance and adaptations to exercise training, environmental stresses, and trauma/sickness.","Sawka, M N; Convertino, V A; Eichner, E R; Schnieder, S M; Young, A J","This paper reviews the influence of several perturbations (physical exercise, heat stress, terrestrial altitude, microgravity, and trauma/sickness) on adaptations of blood volume (BV), erythrocyte volume (EV), and plasma volume (PV). Exercise training can induce BV expansion: PV expansion usually occurs immediately, but EV expansion takes weeks. EV and PV expansion contribute to aerobic power improvements associated with exercise training. Repeated heat exposure induces PV expansion but does not alter EV. PV expansion does not improve thermoregulation, but EV expansion improves thermoregulation during exercise in the heat. Dehydration decreases PV (and increases plasma tonicity) which elevates heat strain and reduces exercise performance. High altitude exposure causes rapid (hours) plasma loss. During initial weeks at altitude, EV is unaffected, but a gradual expansion occurs with extended acclimatization. BV adjustments contribute, but are not key, to altitude acclimatization. Microgravity decreases PV and EV which contribute to orthostatic intolerance and decreased exercise capacity in astronauts. PV decreases may result from lower set points for total body water and central venous pressure, while EV decreases may result from increased erythrocyte destruction. Trauma, renal disease, and chronic diseases cause anemia from hemorrhage and immune activation which suppresses erythropoiesis. The re-establishment of EV is associated with healing, improved life quality, and exercise capabilities for these injured/sick persons.",2000,/,Medicine and science in sports and exercise,32,2,332-48,,,10694114,#3795,Sawka 2000,,
Towards Real-Time Service from Remote Sensing: Compression of Earth Observatory Video Data via Long-Term Background Referencing,"Xiao, Jing; Zhu, Rong; Hu, Ruimin; Wang, Mi; Zhu, Ying; Chen, Dan; Li, Deren","City surveillance enables many innovative applications of smart cities. However, the real-time utilization of remotely sensed surveillance data via unmanned aerial vehicles (UAVs) or video satellites is hindered by the considerable gap between the high data collection rate and the limited transmission bandwidth. High efficiency compression of the data is in high demand. Long-term background redundancy (LBR) (in contrast to local spatial/temporal redundancies in a single video clip) is a new form of redundancy common in Earth observatory video data (EOVD). LBR is induced by the repetition of static landscapes across multiple video clips and becomes significant as the number of video clips shot of the same area increases. Eliminating LBR improves EOVD coding efficiency considerably. First, this study proposes eliminating LBR by creating a long-term background referencing library (LBRL) containing high-definition geographically registered images of an entire area. Then, it analyzes the factors affecting the variations in the image representations of the background. Next, it proposes a method of generating references for encoding current video and develops the encoding and decoding framework for EOVD compression. Experimental results show that encoding UAV video clips with the proposed method saved an average of more than 54% bits using references generated under the same conditions. Bitrate savings reached 25-35% when applied to satellite video data with arbitrarily collected reference images. Applying the proposed coding method to EOVD will facilitate remote surveillance, which can foster the development of online smart city applications.",2018,,REMOTE SENSING,10,6,,WOS:000436561800070,10.3390/rs10060876,,#10808,Xiao 2018,,
Clinorotation upregulates inducible nitric oxide synthase by inhibiting AP-1 activation in human umbilical vein endothelial cells.,"Wang, Yong-Chun; Zhang, Shu; Du, Ting-Yuan; Wang, Bing; Sun, Xi-Qing","Alterations of nitric oxide contribute to post-flight orthostatic intolerance. The aim of this study was to investigate the changes of inducible nitric oxide synthase (iNOS) and the mechanisms underlying regulation of iNOS by simulated microgravity in human umbilical vein endothelial cells (HUVECs). Clinorotation, a simulated-model of microgravity, increased iNOS expression and promoter activity in HUVECs. The transactivations of NF-kappaB and AP-1 were suppressed by 24 h clinorotation. A key role for AP-1, but not NF-kappaB in the regulation of iNOS was shown. (1) PDTC, a NF-kappaB inhibitor, had no effect on clinorotation upregulation of iNOS. (2) SP600125, a JNK-specific inhibitor, which resulted in inhibition of AP-1 activity, enhanced the iNOS expression and promoter activity in clinorotation. (3) Overexpression of AP-1 remarkably attenuated the upregulation effect of clinorotation. These findings indicate that clinorotation upregulates iNOS in HUVECs by a mechanism dependent on suppression of AP-1, but not NF-kappaB. These results support a key role for AP-1 in the signaling of postflight orthostatic intolerance. Copyright 2009 Wiley-Liss, Inc.",2009,/,Journal of cellular biochemistry,107,2,357-63,,https://dx.doi.org/10.1002/jcb.22134,19306295,#2979,Wang 2009,,
The Vestibular System: A Newly Identified Regulator of Bone Homeostasis Acting Through the Sympathetic Nervous System,"Vignaux, G.; Besnard, S.; Denise, P.; Elefteriou, F.","The vestibular system is a small bilateral structure located in the inner ear, known as the organ of balance and spatial orientation. It senses head orientation and motion, as well as body motion in the three dimensions of our environment. It is also involved in non-motor functions such as postural control of blood pressure. These regulations are mediated via anatomical projections from vestibular nuclei to brainstem autonomic centers and are involved in the maintenance of cardiovascular function via sympathetic nerves. Age-associated dysfunction of the vestibular organ contributes to an increased incidence of falls, whereas muscle atrophy, reduced physical activity, cellular aging, and gonadal deficiency contribute to bone loss. Recent studies in rodents suggest that vestibular dysfunction might also alter bone remodeling and mass more directly, by affecting the outflow of sympathetic nervous signals to the skeleton and other tissues. This review will summarize the findings supporting the influence of vestibular signals on bone homeostasis, and the potential clinical relevance of these findings.",2015,,CURRENT OSTEOPOROSIS REPORTS,13,4,198-205,WOS:000357127300002,10.1007/s11914-015-0271-2,,#17339,Vignaux 2015,,
Modeled microgravity inhibits apoptosis in peripheral blood lymphocytes.,"Risin, D; Pellis, N R","Microgravity interferes with numerous lymphocyte functions (expression of cell surface molecules, locomotion, polyclonal and antigen-specific activation, and the protein kinase C activity in signal transduction). The latter suggests that gravity may also affect programmed cell death (PCD) in lymphocyte populations. To test this hypothesis, we investigated spontaneous, activation- and radiation-induced PCD in peripheral blood mononuclear cells exposed to modeled microgravity (MMG) using a rotating cell culture system. The results showed significant inhibition of radiation- and activation-induced apoptosis in MMG and provide insights into the potential mechanisms of this phenomenon.",2001,/,In vitro cellular & developmental biology. Animal,37,2,66-72,,,11332739,#3710,Risin 2001,,
A Shift from Efficiency to Adaptability: Recent Progress in Biomimetic Interactive Soft Robotics in Wet Environments,"Fang, Jielun; Zhuang, Yanfeng; Liu, Kailang; Chen, Zhuo; Liu, Zhou; Kong, Tiantian; Xu, Jianhong; Qi, Cheng","Research field of soft robotics develops exponentially since it opens up many imaginations, such as human-interactive robot, wearable robots, and transformable robots in unpredictable environments. Wet environments such as sea and in vivo represent dynamic and unstructured environments that adaptive soft robots can reach their potentials. Recent progresses in soft hybridized robotics performing tasks underwater herald a diversity of interactive soft robotics in wet environments. Here, the development of soft robots in wet environments is reviewed. The authors recapitulate biomimetic inspirations, recent advances in soft matter materials, representative fabrication techniques, system integration, and exemplary functions for underwater soft robots. The authors consider the key challenges the field faces in engineering material, software, and hardware that can bring highly intelligent soft robots into real world.",2022,,ADVANCED SCIENCE,9,8,,WOS:000745986100001,10.1002/advs.202104347,,#10616,Fang 2022,,
Distinct Motor Plans Form and Retrieve Distinct Motor Memories for Physically Identical Movements,"Hirashima, Masaya; Nozaki, Daichi","We can adapt movements to a novel dynamic environment (e.g., tool use, microgravity, and perturbation) by acquiring an internal model of the dynamics [1-3]. Although multiple environments can be learned simultaneously if each environment is experienced with different limb movement kinematics [4-7], it is controversial as to whether multiple internal models for a particular movement can be learned and flexibly retrieved according to behavioral contexts [7-14]. Here, we address this issue by using a novel visuomotor task. While participants reached to each of two targets located at a clockwise or counter-clockwise position, a gradually increasing visual rotation was applied in the clockwise or counter-clockwise direction, respectively, to the on-screen cursor representing the unseen hand position. This procedure implicitly led participants to perform physically identical pointing movements irrespective of their intentions (i.e., movement plans) to move their hand toward two distinct visual targets. Surprisingly, if each identical movement was executed according to a distinct movement plan, participants could readily adapt these movements to two opposing force fields simultaneously. The results demonstrate that multiple motor memories can be learned and flexibly retrieved, even for physically identical movements, according to distinct motor plans in a visual space.",2012,,CURRENT BIOLOGY,22,5,432-436,WOS:000301330200026,10.1016/j.cub.2012.01.042,,#16668,Hirashima 2012,,
Respiratory pathology in vibroacoustic disease: 25 years of research.,"Branco, Nuno A A Castelo; Ferreira, Jose Reis; Alves-Pereira, Mariana","BACKGROUND: Respiratory pathology induced by low frequency noise (LFN, < 500 Hz, including infrasound) is not a novel subject given that in the 1960's, within the context of U.S. and U.S.S.R. Space Programs, other authors have already reported its existence. Within the scope of vibroacoustic disease (VAD), a whole-body pathology caused by excessive exposure to LFN, respiratory pathology takes on specific features. Initially, respiratory pathology was not considered a con- sequence of LFN exposure; but today, LFN can be regarded as a major agent of disease that targets the respiratory system. The goal of this report is to put forth what is known to date on the clinical signs of respiratory pathology seen in VAD patients., METHODS: Data from the past 25 years of research will be taken together and presented., RESULTS: In persons exposed to LFN on the job, respiratory complaints appear af- ter the first 4 years of professional activity. At this stage, they disappear during vacation periods or when the person is removed form his /her workstation for other reasons. With long-term exposure, more serious situations can arise, such as, atypical pleural effusion, respiratory insufficiency, fibrosis and tumours. There is no correlation with smoking habits. In LFN-exposed animal models, morphological changes of the pleura, and loss of the phagocytic ability of pleural mesothelial cells (explaining the atypical pleural effusions). Fibrotic lesions and neo-vascularization were observed along the entire respiratory tract. Fibrosis lesions and neovascularisation were observed through- out the respiratory tract of the animals seen. Pre-malignant lesions, metaplasia e displasia, were also identified., DISCUSSION: LFN is an agent of disease and the respiratory tract is one of its preferential targets. The respiratory pathology associated with VAD needs further in-depth studies in order to achieve a greater understanding, and develop methods of pharmaco- logical intervention.",2007,/,Revista portuguesa de pneumologia,13,1,129-35,,,17315094,#3116,Branco 2007,,
The impact of space flight on the human skeletal system and potential nutritional countermeasures.,Zwart SR; Smith SM,"Bone loss is a critical health issue during space missions. Much in-flight and ground-based effort has been expended to understand and counteract this phenomenon. Although the more obvious countermeasures have been tested, with exercise and pharmaceutical therapies at the forefront, nutrition and dietary management has been largely untested. Some of the recent findings on exercise and pharmacotherapies, as well as ground-based data highlighting a few areas where nutrition has a clear effect on bone health, are reported in this review. One area highlighted here is the role of protein in acid-base balance and how this many affect bone during space flight. Finding a countermeasure for space flight-induced bone loss will benefit space travellers as well as help scientists better understand bone physiology in general, for the benefit of individuals with bone diseases and immobilised individuals.",2005,12//,International SportMed Journal,6,4,199-214,,,106450885,#7374,Zwart 2005,,
Exposure to reduced gravity impairs junctional transmission at the semicircular canal in the frog labyrinth,"Rossi, Maria Lisa; Rubbini, Gemma; Gioglio, Luciana; Martini, Marta; Fesce, Riccardo","Rossi ML, Rubbini G, Gioglio L, Martini M, Fesce R. Exposure to reduced gravity impairs junctional transmission at the semicircular canal in the frog labyrinth. Am J Physiol Regul Integr Comp Physiol 298: R439-R452, 2010. First published December 2, 2009; doi: 10.1152/ajpregu.00673.2009.-The effects of microgravity on frog semicircular canals have been studied by electrophysiological and morphological approaches. Reduced gravity (microG) was simulated by a random positioning machine (RPM), which continually and randomly modified the orientation in space of the anesthetized animal. As this procedure stimulates the semicircular canals, the effect of altered gravity was isolated by comparing microG-treatment with an identical rotary stimulation in the presence of normal gravity (normoG). Electrophysiological experiments were performed in the isolated labyrinth, extracted from the animals after the treatment, and mounted on a turntable. Junctional activity was measured by recording quantal events (mEPSPs) and spikes from the afferent fibers close to the junction, at rest and during rotational stimulation. MicroG-treated animals displayed a marked decrease in the frequency of resting and evoked mEPSP discharge, vs. both control and normoG (mean decrease similar to 50%). Spike discharge was also depressed: 57% of microG-treated frogs displayed no spikes at rest and during rotation at 0.1 Hz, vs. 23-31% of control or normoG frogs. Among the firing units, during one cycle of sinusoidal rotation at 0.1 Hz microG-treated units emitted an average of 41.8 +/- 8.06 spikes, vs. 77.2 +/- 8.19 in controls. Patch-clamp analysis on dissociated hair cells revealed altered Ca(2+) handling, after microG, consistent with and supportive of the specificity of microG effects. Marked morphological signs of cellular suffering were observed after microG, mainly in the central part of the sensory epithelium. Functional changes due to microgravity were reversible within a few days.",2010,,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,298,2,R439-R452,WOS:000273862700026,10.1152/ajpregu.00673.2009,,#16602,Rossi 2010,,
Biomechanics and energetics of walking in powered ankle exoskeletons using myoelectric control versus mechanically intrinsic control,"Koller, Jeffrey R.; Remy, C. David; Ferris, Daniel P.","Background: Controllers for assistive robotic devices can be divided into two main categories: controllers using neural signals and controllers using mechanically intrinsic signals. Both approaches are prevalent in research devices, but a direct comparison between the two could provide insight into their relative advantages and disadvantages. We studied subjects walking with robotic ankle exoskeletons using two different control modes: dynamic gain proportional myoelectric control based on soleus muscle activity (neural signal), and timing-based mechanically intrinsic control based on gait events (mechanically intrinsic signal). We hypothesized that subjects would have different measures of metabolic work rate between the two controllers as we predicted subjects would use each controller in a unique manner due to one being dependent on muscle recruitment and the other not.Methods: The two controllers had the same average actuation signal as we used the control signals from walking with the myoelectric controller to shape the mechanically intrinsic control signal. The difference being the myoelectric controller allowed step-to-step variation in the actuation signals controlled by the user's soleus muscle recruitment while the timing-based controller had the same actuation signal with each step regardless of muscle recruitment.Results: We observed no statistically significant difference in metabolic work rate between the two controllers. Subjects walked with 11% less soleus activity during mid and late stance and significantly less peak soleus recruitment when using the timing-based controller than when using the myoelectric controller. While walking with the myoelectric controller, subjects walked with significantly higher average positive and negative total ankle power compared to walking with the timing-based controller.Conclusions: We interpret the reduced ankle power and muscle activity with the timing-based controller relative to the myoelectric controller to result from greater slacking effects. Subjects were able to be less engaged on a muscle level when using a controller driven by mechanically intrinsic signals than when using a controller driven by neural signals, but this had no affect on their metabolic work rate. These results suggest that the type of controller (neural vs. mechanical) is likely to affect how individuals use robotic exoskeletons for therapeutic rehabilitation or human performance augmentation.",2018,,JOURNAL OF NEUROENGINEERING AND REHABILITATION,15,,,WOS:000433468100001,10.1186/s12984-018-0379-6,,#13882,Koller 2018,,
Space Radiation-Induced Alterations in the Hippocampal Ubiquitin-Proteome System,"Tidmore, Alyssa; Dutta, Sucharita M.; Fesshaye, Arriyam S.; Russell, William K.; Duncan, Vania D.; Britten, Richard A.","Exposure of rodents to <20 cGy Space Radiation (SR) impairs performance in several hippocampus-dependent cognitive tasks, including spatial memory. However, there is considerable inter-individual susceptibility to develop SR-induced spatial memory impairment. In this study, a robust label-free mass spectrometry (MS)-based unbiased proteomic profiling approach was used to characterize the composition of the hippocampal proteome in adult male Wistar rats exposed to 15 cGy of 1 GeV/n Ti-48 and their sham counterparts. Unique protein signatures were identified in the hippocampal proteome of: (1) sham rats, (2) Ti-exposed rats, (3) Ti-exposed rats that had sham-like spatial memory performance, and (4) Ti-exposed rats that impaired spatial memory performance. Approximately 14% (159) of the proteins detected in hippocampal proteome of sham rats were not detected in the Ti-exposed rats. We explored the possibility that the loss of the Sham-only proteins may arise as a result of SR-induced changes in protein homeostasis. SR-exposure was associated with a switch towards increased pro-ubiquitination proteins from that seen in Sham. These data suggest that the role of the ubiquitin-proteome system as a determinant of SR-induced neurocognitive deficits needs to be more thoroughly investigated.",2021,,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,22,14,,WOS:000676482900001,10.3390/ijms22147713,,#15230,Tidmore 2021,,
Microscopic Structure of Bayberry (Myrica Rubra Sieb. Et Zucc.) Juice Haze,"Fang, Zhongxiang; Zhang, Min; Bhandari, Bhesh; Sun Jin-Cai","The microstructure of bayberry juice hazes after storage at 25C for 6 months was examined by light microscopy and transmission electron microscopy. Haze particles were found spherical and elliptical surrounded by translucent membranes. The transmission electron microscopic study indicated that the particles had three substructures: stain impenetrable central core, stain penetrable middle part, and floccule-like outer space structure. The core and the middle part of the haze were assumed to be the polyphenols or polyphenol/protein complexes, and the outer space was mainly the protein component. These particles were found to be aggregated to form dentrite or leaf-like structures supposedly due to hydrophobic and covalent links.",2009,,INTERNATIONAL JOURNAL OF FOOD PROPERTIES,12,3,549-555,WOS:000265653100009,10.1080/10942910801947730,,#15289,Fang 2009,,
Development of a mobile robot-based combined sensor platform to determine the correlation between soil penetration resistance and electrical conductivity,"Unal, Ilker; Topakci, Mehmet; Canakci, Murad; Karayel, Davut; Yilmaz, Erdem; Kabas, Onder","Open-field farming involves successive major processes such as preparation of soil, planting the seed, adding pesticides and fertilizers, irrigation, cultivation, and harvest. The main aim of all processes is to achieve maximum yield out of the available agricultural landscape. It is necessary to collect geo-referenced descriptive data on soil characteristics, such as soil penetration resistance and electrical conductivity before starting all these processes. In this context, agricultural robots offer highly promising technologies providing valuable soil data, lower production costs, reduced manual labour, and maximum crop efficiency. The aim of this study is to design and develop a combined sensor platform and a GPS-guided 4WD agricultural autonomous robot to provide rapid measurement and mapping of the soil penetration resistance and the electrical conductivity for precision farming applications. The agricultural robot is a nonholonomic mobile robot, which has a differential steering mechanism and can be forwarded to stable-target points. The combined sensor platform, which is a y-axis shifter driven by a DC motor with reducer, consists of the Wenner array probes and load cell-based penetration rod. AutoCAD software was used for designing and drawing of the robot and measurement platform. All software was coded in Microsoft Visual Basic.NET programming language. Field studies were conducted to measure the soil penetration resistance, electrical conductivity, and determine the correlation between soil penetration resistance and electrical conductivity. As a result, the ranges of the soil measurement were observed between 1.13 MPa-2.14 MPa for penetration resistance and 0.14-0.33 dS/m for electrical conductivity. Results showed that there is a fairly strong negative relationship between the soil penetration resistance and the electrical conductivity (R-2 = -0.78).",2021,,TURKISH JOURNAL OF AGRICULTURE AND FORESTRY,45,3,365-379,WOS:000664649600012,10.3906/tar-2007-43,,#13634,Unal 2021,,
Bone formation is not impaired by hibernation (disuse) in black bears <i>Ursus americanus</i>,"Donahue, SW; Vaughan, MR; Demers, LM; Donahue, HJ","Disuse by bed rest, limb immobilization or space flight causes rapid bone loss by arresting bone formation and accelerating bone resorption. This net bone loss increases the risk of fracture upon remobilization. Bone loss also occurs in hibernating ground squirrels, golden hamsters, and little brown bats by arresting bone formation and accelerating bone resorption. There is some histological evidence to suggest that black bears Ursus americanus do not lose bone mass during hibernation (i.e. disuse). There is also evidence suggesting that muscle mass and strength are preserved in black bears during hibernation. The question of whether bears can prevent bone loss during hibernation has not been conclusively answered. The goal of the current study was to further assess bone metabolism in hibernating black bears. Using the same serum markers of bone remodeling used to evaluate human patients with osteoporosis, we assayed serum from five black bears, collected every 10 days over a 196-day period, for bone resorption and formation markers. Here we show that bone resorption remains elevated over the entire hibernation period compared to the pre-hibernation period, but osteoblastic bone formation is not impaired by hibernation and is rapidly accelerated during remobilization following hibernation.",2003,,JOURNAL OF EXPERIMENTAL BIOLOGY,206,23,4233-4239,WOS:000187394100013,10.1242/jeb.00671,,#13992,Donahue 2003,,
Early changes in vasoreactivity after simulated microgravity are due to an upregulation of the endothelium-dependent nitric oxide/cGMP pathway,"White, Anthony R.; Ryoo, Sungwoo; Bugaj, Lukasz; Attarzadeh, David O.; Thiyagarajan, Srikanth; Chen, Kexun; Attwater, Sarah; Abbot, Bryce; Li, Dechun; Champion, Hunter C.; Shoukas, Artin A.; Nyhan, Daniel; Hare, Joshua M.; Berkowitz, Dan E.; Tuday, Eric C.","Emerging evidence suggests that nitric oxide (NO) plays a pivotal role in the mechanism of vascular hyporesponsiveness contributing to microgravity-induced orthostatic intolerance. The cellular and enzymatic source of the NO, however, remains controversial. In addition, the time course of the endothelial-dependent contribution remains unstudied. We tested the hypotheses that the change in vasoresponsiveness seen in acute (3-day) hindlimb unweighted (HLU) animals is due to an endothelium-dependent mechanism and that endothelial-dependent attenuation in vasoreactivity is due to endothelial nitric oxide synthase (NOS-3) dependent activation. Vasoreactivity was investigated in rat aortic rings following acute HLU treatment. Dose responsiveness to norepinepherine (NE) was depressed after 3-day HLU [1,338 +/- A 54 vs. 2,325 +/- A 58 mg at max (NE), HLU vs. C, P < 0.001]. However, removal of the endothelium restored the vascular contractility to that of C. In addition, 1H-oxadiazole quinoxalin-1-one (ODQ), a soluble guanylyl cyclase inhibitor, restored the reduced vasoconstrictor responses to phenylephrine (PE) seen in 3-day HLU rings (1.30 +/- A 0.10 vs. 0.53 +/- A 0.07 g, HLU + ODQ vs. HLU, P = 0.0001). Ca+ dependent nitric oxide synthase (NOS) activity was increased, as was vascular NO products as a result of HLU. While NOS-3 expression was not increased in HLU rats, phosphorylation of NOS-3 at serine-1177 (an activator of NOS-3) was increased while phosphorylation of serine-495 (an inactivator of NOS-3) was decreased. These findings demonstrate that changes in vasoresponsiveness in the acute HLU model of microgravity are due to an upregulation of the endothelial-dependent NO/cGMP pathway through NOS phosphorylation.",2010,,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,110,2,395-404,WOS:000281380800020,10.1007/s00421-010-1514-7,,#16807,White 2010,,
Whole-Body Proton Irradiation Causes Long-Term Damage to Hematopoietic Stem Cells in Mice,"Chang, Jianhui; Feng, Wei; Wang, Yingying; Luo, Yi; Allen, Antino R.; Koturbash, Igor; Turner, Jennifer; Stewart, Blair; Raber, Jacob; Hauer-Jensen, Martin; Zhou, Daohong; Shao, Lijian","Space flight poses certain health risks to astronauts, including exposure to space radiation, with protons accounting for more than 80% of deep-space radiation. Proton radiation is also now being used with increasing frequency in the clinical setting to treat cancer. For these reasons, there is an urgent need to better understand the biological effects of proton radiation on the body. Such improved understanding could also lead to more accurate assessment of the potential health risks of proton radiation, as well as the development of improved strategies to prevent and mitigate its adverse effects. Previous studies have shown that exposure to low doses of protons is detrimental to mature leukocyte populations in peripheral blood, however, the underlying mechanisms are not known. Some of these detriments may be attributable to damage to hematopoietic stem cells (HSCs) that have the ability to self-renew, proliferate and differentiate into different lineages of blood cells through hematopoietic progenitor cells (HPCs). The goal of this study was to investigate the long-term effects of low-dose proton irradiation on HSCs. We exposed C57BL/6J mice to 1.0 Gy whole-body proton irradiation (150 MeV) and then studied the effects of proton radiation on HSCs and HPCs in the bone marrow (BM) 22 weeks after the exposure. The results showed that mice exposed to 1.0 Gy whole-body proton irradiation had a significant and persistent reduction of BM HSCs compared to unirradiated controls. In contrast, no significant changes were observed in BM HPCs after proton irradiation. Furthermore, irradiated HSCs and their progeny exhibited a significant impairment in clonogenic function, as revealed by the cobblestone area-forming cell (CAFC) and colony-forming cell assays, respectively. These long-term effects of proton irradiation on HSCs may be attributable to the induction of chronic oxidative stress in HSCs, because HSCs from irradiated mice exhibited a significant increase in NADPH oxidase 4 (NOX4) mRNA expression and reactive oxygen species (ROS) production. In addition, the increased production of ROS in HSCs was associated with a significant reduction in HSC quiescence and an increase in DNA damage. These findings indicate that exposure to proton radiation can lead to long-term HSC injury, probably in part by radiation-induced oxidative stress. (C) 2015 by Radiation Research Society",2015,,RADIATION RESEARCH,183,2,240-248,WOS:000350024200010,10.1667/RR13887.1,,#8121,Chang 2015,,Animal; Hematology; Radiation
